Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,14032049,"Tomate triturado ORLANDO, brik 510 g",123018,N/A,0.015840627253055573,
True Positive,315044,"Cognac REMY MARTIN, botella 70 cl",323596,N/A,0.016731109470129013,
True Positive,12310058,"Ginebra LARIOS 12, botella 70 cl",9783,N/A,0.026197442784905434,
True Positive,146472,"Tomate triturado ORLANDO, lata 400 g",112476,N/A,0.026797324419021606,
True Positive,22366108,"Tomate pelado MUTTI, lata 400 g",165436,N/A,0.03276507928967476,
True Positive,315085,"Brandy 5 años TORRES, botella 70 cl",75621,N/A,0.033897023648023605,
True Positive,12762472,"Ginebra HENDRICKS, botella 70 cl",56802,N/A,0.034918904304504395,
True Positive,356105,"Caramelo líquido ROYAL, frasco 400 g",160227,N/A,0.04715900495648384,
True Positive,157115,"Aceite de oliva virgen extra arbequina BORGES, botella 75 cl",483496,N/A,0.05238087475299835,
True Positive,26593103,"Licor de hierbas LAS CADENAS, botella 70 cl",141762,N/A,0.05659040808677673,
True Positive,11223427,"Vino Blanco Verdejo PROTOS, botella 75 cl",50597,N/A,0.06377147883176804,
True Positive,21017611,"Ginebra Flor de Sevilla TANQUERAY, botella 70 cl",173532,N/A,0.06831382215023041,
True Positive,6302285,"Ginebra RIVES, botella 1 litro",76167,N/A,0.06893055140972137,
True Positive,24879413,"Bebida de almendras sin azúcar ALPRO, brik 1 litro",212686,N/A,0.07075506448745728,
True Positive,16127789,"Ginebra LARIOS, botella 1 litro",75283,N/A,0.07465057075023651,
True Positive,13895172,"Ginebra BROCKMANS, botella 70 cl",111846,N/A,0.07660728693008423,
True Positive,1381086,"Bonito en aceite de oliva ZALLO, lata 266 g",165398,N/A,0.07827204465866089,
True Positive,24879298,"Bebida de almendras ALPRO, brik 1 litro",212687,N/A,0.08025002479553223,
True Positive,423541,"Vino Blanco VIÑA COSTEIRA, botella 75 cl",316810,N/A,0.08316607773303986,
True Positive,18643197,"Yogur artesano al estilo griego PASTORET, tarrina 500 g",195145,N/A,0.09180504083633423,
True Positive,24315806,"Ginebra Blackberry PUERTO DE INDIAS, botella 70 cl",201390,N/A,0.09430456161499023,
True Positive,18395756,"Pulpa de guindilla picante ZUBIA, frasco 60 g",160835,N/A,0.09836824238300323,
True Positive,12468864,"Chorizo Pamplona GOIKOA, bandeja 70 g",75278,N/A,0.10320644080638885,
True Positive,15114390,"Té verde con maracuya NESTEA, lata 33 cl",220213,N/A,0.1147930771112442,
True Positive,16764409,"Concentrado MUTTI, tubo 130 g",150204,N/A,0.12009922415018082,
True Positive,314682,"Aroma de vainilla VAHINÉ, bote 200 ml",124755,N/A,0.12292337417602539,
True Positive,1793942,"Cerveza sin alcohol MAHOU, lata 33 cl",821,N/A,0.1302672028541565,
True Positive,4534103,"Caldo de carne en polvo KNORR, cubeta 1 kg",86521,N/A,0.13687574863433838,
True Positive,16959553,"Tónica Blue NORDIC MIST, lata 25 cl",194133,N/A,0.1435820758342743,
True Positive,21759071,"Ginebra japonesa ROKU, botella 70 cl",178072,N/A,0.144922137260437,
True Positive,844514,"Filete de melva en aceite de girasol UBAGO, lata 115 g",595114,N/A,0.14752092957496643,
True Positive,15045875,"Cerveza sin alcohol CLAUSTHALER, botellín 33 cl",3746,N/A,0.15530669689178467,
True Positive,16819138,"Bífidus cremoso sabor lima-limón ACTIVIA, pack 4x115 g",138341,N/A,0.1622934341430664,
True Positive,23496342,"Margaritas con vegetales GALLO, paquete 450 g",252525,N/A,0.1641727089881897,
True Positive,14402788,"Ginebra francesa G'VINE, botella 70 cl",77041,N/A,0.1651051938533783,
True Positive,3315926,"Ron Extra Viejo BRUGAL, botella 70 cl",620958,N/A,0.1660928577184677,
True Positive,3700218,"Leche de oveja pasteurizada ULTZAMA, botella 1 litro",139873,N/A,0.16822382807731628,
True Positive,14402762,"Ginebra francesa CITADELLE, botella 70 cl",75325,N/A,0.16953516006469727,
True Positive,827600,"Cuchillo de mesa Hotel, inox 18/10 JAY, 1 ud",502424,N/A,0.17204046249389648,
True Positive,19989169,"Tónica Hibiscus SCHWEPPES, botellín 20 cl",156149,N/A,0.17205089330673218,
