Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,656348,"Mantequilla ASTURIANA, rulo 500 g",283751,Asturiana mantequilla rulo 500 g,0.016045212745666504,
True Positive,983536,"Mantequilla ASTURIANA, tarrina 250 g",106325,Asturiana mantequilla tarrina 250 g,0.016411542892456055,
True Positive,320481,"Tomate frito ORLANDO, lata 400 g",111501,ORLANDO tomate frito lata 2650 g,0.021979093551635742,
True Positive,20144002,"Tomate frito ORLANDO, brik 2,1 kg",123013,"ORLANDO tomate frito brik 2,1 kg",0.024026036262512207,
True Positive,146472,"Tomate triturado ORLANDO, lata 400 g",112476,ORLANDO tomate triturado lata 2500 gn,0.026797056198120117,
True Positive,22366108,"Tomate pelado MUTTI, lata 400 g",165436,MUTTI tomate pelado lata 1650 gne (2500 g),0.032764434814453125,
True Positive,324715,"Borraja GUTARRA, frasco 400 g",289757,GVTARRA borraja frasco 400gne (660 g),0.039043545722961426,
True Positive,487363,"Atún en aceite vegetal ISABEL, lata 800 g",135031,ISABEL atún en aceite vegetal lata 650 gne (800 g),0.039805054664611816,
True Positive,15725773,"Albondigas con tomate CARRETILLA, bandeja 300 g",219432,Campofrío albondigas con tomates bandeja 2kg,0.04815506935119629,
True Positive,24287450,"Salsa tandoori PATAK'S, frasco 450 g",201185,PATAK'S salsa tandoori 450 g,0.05099201202392578,
True Positive,25013657,"Sriracha mayo GO-TAN, bote 215 ml",216318,GO-TAN Salsa sriracha mayo 500 ml,0.055847764015197754,
True Positive,23447808,"Salsa sriracha TABASCO, bote 256 ml",208691,TABASCO  salsa sriracha 256 ml,0.05645132064819336,
True Positive,25599044,"Salchicha Bratwurst PICKEN, sobre 300 g",165249,Picken salchicha cocida bratwurst  340g,0.06419233977794647,
True Positive,17003443,"Jamón curado NAVIDUL, sobre 104 g",220705,NAVIDUL jamón curado loncheado 500 g,0.06701695919036865,
True Positive,16198061,"Mostaza de miel MAILLE, frasco 230 g",126262,MAILLE mostaza a la miel tarro 230 g,0.06976771354675293,
True Positive,24879413,"Bebida de almendras sin azúcar ALPRO, brik 1 litro",212686,alpro bebida de almendra sin azucar 1L contiene 6 unidades,0.0707547664642334,
True Positive,26507673,"Salsa de trufa YBARRA, bocabajo 250 ml",216733,Ybarra experience salsa trufa 500 ml,0.0742483139038086,
True Positive,1381086,"Bonito en aceite de oliva ZALLO, lata 266 g",165398,Zallo bonito aceite oliva lata 1400 gne (1800 g),0.07827222347259521,
True Positive,24879298,"Bebida de almendras ALPRO, brik 1 litro",212687,alpro bebida de almendra 1L contiene 6 unidades,0.08025026321411133,
True Positive,19685882,"Caldo para paella fácil de carne GALLINA BLANCA, brik 1 litro",166518,Gallina Blanca caldo de carne para paella 1l,0.08102142810821533,
True Positive,7643570,"Penca de acelga GUTARRA, frasco 350 g",20043,GVTARRA pencas de acelga frasco 350gne (660 g),0.08219349384307861,
True Positive,324368,"Cardo troceado GUTARRA, frasco 400 g",289835,GVTARRA cardo frasco 400gne (660 g),0.09137344360351562,
True Positive,18643197,"Yogur artesano al estilo griego PASTORET, tarrina 500 g",195145,Pastoret yogur tipo griego 500 g,0.09180545806884766,
True Positive,23764087,"Fideo grueso sin gluten GALLO, paquete 500 g",194739,GALLO fideo sin gluten 450 g,0.09192514419555664,
True Positive,23689144,"Salsa ranchera YBARRA, bocabajo 250 ml",216737,Ybarra salsa ranchera 1 L,0.0937119722366333,
True Positive,18413849,"Salsa Jalfrezi PATAK`S, frasco 450 g",129458,PATAK'S Salsa Jalfrezi bote 450g,0.09397304058074951,
True Positive,18395756,"Pulpa de guindilla picante ZUBIA, frasco 60 g",160835,Zubia guindilla pulpa picante lata 60gn,0.09836840629577637,
True Positive,26507657,"Salsa jalapeño asado YBARRA, bocabajo 250 ml",216735,Ybarra experience salsa jalapeño asado 500 ml,0.09899497032165527,
True Positive,20363511,"Pintxo a la donostiarra AGUINAMAR, bandeja 180 g",190191,Aguinamar pintxo Donostia bandeja 1kg,0.0991206169128418,
True Positive,23764137,"Plumas sin gluten GALLO, paquete 450 g",194743,GALLO pluma sin gluten 450 g,0.09931118786334991,
True Positive,18416602,"Batido de cacao PULEVA, botella 200 ml",393887,PULEVA batido de cacao botella 200 ml contiene 24 unidades,0.0996694564819336,
True Positive,25599051,"Salchicha Frankfurt PICKEN, sobre 300 g",165247,Picken salchicha cocida frankfurt 340g,0.10505581647157669,
True Positive,951371,"Tomate frito HIDA, lata 400 g",179595,Hida tomate frito lata 2500g,0.1124347448348999,
True Positive,16764409,"Concentrado MUTTI, tubo 130 g",150204,MUTTI tomate doble concentrado tubo 130 g,0.12009882926940918,
True Positive,10913952,"Jugo MAGGI, frasco 101 ml",275678,Maggi Profesional sazonador líquido 1kg,0.1203470230102539,
True Positive,269035,"Bloc de pato MARTIKO, pack 2x40 g",76239,Martiko bloc de pato 50 g contiene 5 unidades (total 250 g),0.12328094244003296,
True Positive,25599069,"Salchicha Bockwurst PICKEN, sobre 300 g",165251,Picken salchicha cocida brockwurst  340g,0.1236003041267395,
True Positive,151456,"Puerro entero GUTARRA, frasco 400 g",290615,GVTARRA puerro entero frasco 400gne (660 g),0.12366700172424316,
True Positive,24275869,"Salsa tikka masala PATAK'S, frasco 450 g",199832,PATAK'S salsa curry tikka masala sin gluten tarro 450 g,0.12551403045654297,
True Positive,25978511,"Salsa de soja menos sal KIKKOMAN, botella 480 ml",136728,Kikkoman salsa de soja baja en sal botella 975ml,0.12810993194580078,
True Positive,24935975,"Fumet de pescado GALLINA BLANCA, brik 1 litro",218084,Gallina Blanca fumet pescado de roca y marisco brick 1 L,0.1333392858505249,
True Positive,17025693,"Panceta VALLINA, taco 250 g",187455,Vallina panceta troceada 1250 g,0.13436353206634521,
True Positive,356162,"Flan ROYAL, 8 uds, caja 186 g",523835,Royal flan doble 186g,0.13545992970466614,
True Positive,768689,"Salsa de soja KIKKOMAN, frasco 250 g",34337,"Kikkoman salsa de soja bidón 1,9l",0.13550949096679688,
True Positive,336255,"Alubia pocha JA'E, lata 500 g",431847,JA'E alubia cocida blanca pocha lata 1600 gne (2500 g),0.13784539699554443,
True Positive,26507632,"Salsa chiplote ahumado YBARRA, bocabajo 250 ml",216734,Ybarra experience salsa chipotle ahumado 500 ml,0.13819348812103271,
True Positive,489070,"Sardina en aceite 3/4 piezas CUCA, lata 120 g",335985,CUCA sardinas en aceite 3 piezas 85gne x 5 (120 g),0.14215469360351562,
True Positive,844514,"Filete de melva en aceite de girasol UBAGO, lata 115 g",595114,Ubago melva en aceite en lata de 620gne (950 g),0.14752092957496643,
True Positive,3355344,"Salsa calçots FERRER, frasco 320 g",221703,FERRER salsa calçots frasco de 645 gramos,0.14806020259857178,
True Positive,23462484,"Tomate cherry redondo, bandeja 400 g",27807,Tomate cherry redondo bandeja 200g aproximado,0.15259242057800293,
True Positive,11703618,"Fiambre para sandwich ELPOZO, bandeja 250 g",10376,Elpozo fiambre sandwich loncheado 250 g,0.1556847095489502,
True Positive,18788166,"Lenteja cocida JA'E, lata 250 g",432289,JA'E lenteja cocida lata 1600gne (2500 g),0.1581031084060669,
True Positive,15244171,"Tomate Mediterráneo HELIOS, frasco 560 g",177155,Helios tomate mediterráneo con aceite de oliva frasco 560gn,0.15867185592651367,
True Positive,26202887,"Vinagre balsámico de Módena BORGES, spray 25 cl",104643,BORGES vinagre balsámico de módena 2l,0.15923821926116943,
True Positive,24275877,"Salsa korma PATAK'S, frasco 450 g",199831,PATAK'S salsa curry korma sin gluten tarro 450 g,0.1617211103439331,
True Positive,24275885,"Salsa butter chicken PATAK'S, frasco 450 g",198954,PATAK'S salsa butter chicken 450 g,0.1626967191696167,
True Positive,10956803,"Ketchup HEINZ, bote 342 g",119333,HEINZ ketchup bote de 1Kg,0.16279387474060059,
True Positive,1759554,"Flan de vainilla DANONE, pack 4x110 g",521443,DANONe flan de vainilla de 100 g contiene 4 unidades,0.1635330617427826,
True Positive,16819526,"Flan de queso DANONE, pack 4x100 g",138356,DANONe flan queso 100 g contiene 4 unidades,0.16357135772705078,
True Positive,23496342,"Margaritas con vegetales GALLO, paquete 450 g",252525,GALLO margaritas vegetales caja 3 kg,0.1641727089881897,
True Positive,18396937,"Gilda de boquerón ZUBELZU, tarrina 96 g",195005,Zubelzu Ibarrako Piparrak gilda con boquerón 236 gne contiene 15 unidades (715 g),0.171522855758667,
True Positive,15936958,"Chistorra GALAR, pieza 130 g",173045,Galar chistorra,0.17588937282562256,
True Positive,497339,"Yema de espárrago gruesa CARRETILLA, lata 135 g",61449,Carretilla espárrago yema blanco lata 135gne contiene 4 unidades (205 g),0.17701804637908936,
True Positive,242180,"Chorizo tradición dulce REVILLA, al corte, compra mínima 100 g",10647,Revilla chorizo vela,0.17733550071716309,
True Positive,25035833,"Bebida vegetal de almendra sin azúcar VEGETANEA, brik 1 litro",209528,Vegetánea bebida almendra sin azúcar añadido 1 L contiene 6 unidades,0.1774054765701294,
True Positive,23180706,"Yogur griego de straciatella OIKOS, pack 4x110 g",193178,OIKOS stracciatela 110 g contiene 4 unidades (total 440 g),0.17830157279968262,
True Positive,15137235,"Mostaza HEINZ, bocabajo 220 g",175870,HEINZ mostaza botella 875ml,0.17902326583862305,
True Positive,406108,"Salsa romesco FERRER, frasco 130 g",221698,FERRER salsa romesco frasco de 640 gramos,0.1809217929840088,
True Positive,25458803,"Mayonesa PRIMA, pack 12x10 ml",216807,PRIMA mayonesa caja contiene 230+100 bolsitas (3300 g),0.1842806339263916,
True Positive,14200331,"Ketchup HEINZ, bocabajo 700 g",89922,"HEINZ ketchup bidón 2,15l",0.1853621006011963,
True Positive,13320619,"Crema balsámica de frambuesa BORGES, botella 25 cl",106020,BORGES crema balsámica de frambuesa 400ml,0.18800318241119385,
True Positive,20166849,"Chorizo extra de León PALCARSA, sobre 100 g",128204,Palcarsa chorizo extra en lonchas 250g,0.1888343095779419,
True Positive,597518,"Gelatina neutra en polvo ROYAL, caja 20 g",160229,Royal gelatina neutra 20g,0.19419044256210327,
True Positive,16423733,"Yogur natural LACTUYOGUR, pack 4x125 g",144544,Lacturale yogur natural lactuyogur 125 g contiene 4 unidades,0.19567495584487915,
True Positive,13163480,"Membrillo SANTA TERESA, tarrina 310 g",66737,SANTA TERESA membrillo 310g,0.19654756784439087,
True Positive,8976227,"Queso Roquefort SOCIETÉ, tarrina 100 g",196081,SOCIÉTÉ queso roquefort cuña 100 g,0.20645871758460999,
True Positive,8367187,"Actimel para beber natural DANONE, pack 14x100 ml",2002,Actimel líquido natural 100 ml contiene 6 unidades,0.20670469105243683,
True Positive,16818957,"Fuet espetec CAN DURAN, pieza 150 g",9987,Can Duran fuet espetec 150 g contiene 2 unidades (total 300 g),0.20902955532073975,
True Positive,25035817,"Bebida vegetal de soja sin azúcar VEGETANEA, brik 1 litro",209526,Vegetánea bebida soja sin azúcar añadido 1 L contiene 6 unidades,0.20907270908355713,
True Positive,844498,"Filete de caballa del sur en aceite vegetal UBAGO, lata 85 g",595205,Ubago filete de macarela caballa aceite girasol 620 gne (950 g),0.21074481308460236,
True Positive,9658618,"Salsa teriyaki KIKKOMAN, frasco 250 g",208693,Kikkoman salsa teriyaki botella 975ml,0.21196341514587402,
True Positive,13320684,"Crema balsámica de Módena BORGES, botella 250 g",113583,BORGES crema balsámica de módena 400ml,0.2134852409362793,
