Denominación,ER Referencia eroski,ER Area,ER sec,ER cat,ER subcat,ER segmento,ER Producto,ER Marca,ER Referencia eroski,ER Formato,ER Gramaje,ER Gramaje en miles,ER Unidades,ER Unidad medida,ER Origen,ER Variedad,ER Calibre,PVP tarifa eroski,PVP oferta eroski tienda,ER Precio/kg o precio/unidad,ER Precio/kg o precio/unidad oferta,ER Código ean,Venta media Eroski,ER Tipo de promoción,PVP oferta eroski HORECA,PVP oferta eroski HORECA PRECIO/KG,ER Oferta HORECA,Distance,Ref competidor,Den competidor,Marca competidor,Cod ean del competidor,Formato,Gramaje,Unidad de medida,Gramaje unitario en miles,Unidades,Gramaje total,Origen,Variedad,Calibre,PVP tarifa competidor,PVP oferta 1 competidor,PVP oferta 2 competidor,Precio/kg o precio/unidad,Precio/kg o precio/unidad oferta 1,Precio/kg o precio/unidad oferta 2,Tipo de promo 1 en %,Tipo de promo,dif bruto del mejor precio (nuestro vs competencia) incl HORECA,dif bruto del mejor precio (nuestro vs competencia) sin dto HORECA,dIf porcentual mejor precio sin Horeka,dif porcentual del mejor precio (nuestro vs competencia) incl HORECA,dif porcentual de tarifa (nuestra tarifa vs tarifa competencia),dif porcentual del mes anterior (dato del mes anterior),dif media del registro historico de meses anteriores
"Azafrán en hebras POTE, tarro 1 g",25636580,2-ALIMENTACION,9-COCINA,35-ESPECIAS,5-ESPECIAS,9-AZAFRAN,"Azafrán en hebras POTE, tarro 1 g",POTE,25636580,TARRO,"0,001",1,1,KG,,,,"6,99",,"6990,00",,,"0,23",,,,," 'distance': 0,506064534187317",12022,Pote azafr√°n hebra lata 1g contiene 2 unidades,POTE,,LATA,"0,001",KG,1,2,2,,,,"14,25",,,"7125,00",,,,,"-135,00","-135,00",-2%,-2%,-2%,-2%,-44%
"Discos activos wc de lima PATO, recambio 2 uds",14573117,2-ALIMENTACION,12-DROGUERIA,50-LIMPIADORES,5-BAÑO,35-WC COLGADORES DISCOS,"Discos activos wc de lima PATO, recambio 2 uds",PATO,14573117,RECAMBIO,2,2000,2,UDS,,,,"5,70",,"2,85",,,"1,18",,"5,42","2,71",5%," 'distance': 1,9991240501403809",103368,'Pato Recambios discos wc lima',PATO,,CAJA/CAJON,"0,04",UDS,36,2,72,,,,"7,13",,,"3,57",,,,,"-0,86","-0,72",-25%,-32%,-25%,-25%,-55%
15700917-HOT DOGS P-6 EROSKI 6/330GR,15700917,2-ALIMENTACION,10-DULCE,26-PAN DE MOLDE,10-PANES DIVERSOS,3-HOT DOG,15700917-HOT DOGS P-6 EROSKI 6/330GR,EROSKI,15700917,PAQUETE,"0,33",330,1,KG,,,,"0,90",,"2,73",,,"13,07",,"0,86","2,59",5%," 'distance': 1,16765451431274",442325,METRO Chef pan hot dog 660 g contiene 12 unidades,METRO CHEF,,BOLSA/BOLSON,"0,66",KG,660,1,660,,,,"3,29","2,83",,"4,98","4,29",,14%,COMPRA MAS PAGA MENOS,"-1,70","-1,56",-57%,-65%,-83%,-83%,-75%
Palo extensible 90-150 cm EROSKI pack 1 ud,23053754,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,16-PALOS,5-PALOS OTROS,Palo extensible 90-150 cm EROSKI pack 1 ud,EROSKI,23053754,PACK,1,1000,1,UDS,,,,"2,80",,"2,80",,,"1,19",,,,," 'distance': 7,896214485168457",218902,'METRO PROFESSIONAL palo de aluminio 150 cm',METRO PROFESSIONAL,,SIN ENVASE,"0,26",UDS,260,1,260,,,,"4,71",,,"4,71",,,,,"-1,91","-1,91",-68%,-68%,-68%,-68%,-69%
Lejia para lavadora densa EROSKI garrafa 2 litros,5881313,2-ALIMENTACION,12-DROGUERIA,47-LEJIAS,7-LEJÍAS LAVADORA,1-LAVADORA¿PEQUEÑA,Lejia para lavadora densa EROSKI garrafa 2 litros,EROSKI,5881313,GARRAFA,2,2000,1,L,,,,"1,15",,"0,58",,,"4,03",,,,," 'distance': 0,320846647024155",509457,makro PROFESSIONAL Lejia para lavadora  10L,MAKRO PROFESSIONAL,,GARRAFA,10,L,10000,1,10000,,,,"7,25",,,"0,73",,,,,"-0,15","-0,15",-26%,-26%,-26%,-25%,-53%
"Palo 130 cm EROSKI BASIC, pack 1 ud",23053721,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,16-PALOS,5-PALOS OTROS,"Palo 130 cm EROSKI BASIC, pack 1 ud",EROSKI BASIC,23053721,PACK,1,1000,1,UDS,,,,"0,99",,"0,99",,,"2,15",,,,," 'distance': 1,05808186531067",210461,aro palo de metal rojo 120cm,aro,,UNIDAD,"0,208",UDS,208,1,208,,,,"1,63",,,"1,63",,,,,"-0,64","-0,64",-65%,-65%,-65%,-65%,-65%
"Coco, unidad",52019,1-FRESCOS,1-FRUTA Y HORTALIZA,1-FRUTA,67-TROPICALES,30-OTROS TROPICALES,"Coco, unidad",EROSKI,52019,UNIDAD,0,0,1,UDS,,,,"1,69",,"1,69",,,"3,69",,"1,52","1,52",10%," 'distance': 0,7518849968910217",5931,Coco pieza 400g,MAKRO,,PIEZA,"0,4",KG,400,1,400,,,,"1,30",,,"1,30",,,,,"0,22","0,39",23%,15%,23%,13%,-39%
Cabeza de cordero EROSKI bandeja 800 g,5130968,1-FRESCOS,2-CARNICERIA,63-CORDERO ENVASADO,5-CORDERO DESPOJO ENVASADO,1-CORDERO DESPOJO ENVASADO,Cabeza de cordero EROSKI bandeja 800 g,EROSKI,5130968,BANDEJA,"0,8",800,1,KG,,,,"2,65",,"3,31",,,"0,7",,,,," 'distance': 0,127992451190948",111323,Cabeza de cordero partida bandeja 500 g,MAKRO CHEF,,KILO,"0,50",KG,500,1,500,,,,"2,81",,,"5,62",,,,,"-2,31","-2,31",-70%,-70%,-70%,-70%,-65%
"CJ ESTROPAJO F,VERDE E,BASIC 3U",24265027,2-ALIMENTACION,12-DROGUERIA,59-UTILES DE LIMPIEZA,5-ESTROPAJOS,15-ESTROPAJOS SOLO FIBRA,"CJ ESTROPAJO F,VERDE E,BASIC 3U",EROSKI,24265027,PACK,1,1000,3,UDS,,,,"1,01",,"0,34",,,"0,73",,,,," 'distance': 0,86084920167923",179702,makro PROFESSIONAL Estropajo de fibra verde con esponja 14 unidades,MAKRO PROFESSIONAL,,RETRACTIL,0,UDS,0,14,0,,,,"7,73",,,"0,55",,,,,"-0,21","-0,21",-62%,-62%,-62%,-62%,-62%
"Pulpo limpio PESCANOVA, bolsa 800 g",13682141,2-ALIMENTACION,3-CONGELADOS,9-PESCADO Y MARISCO CONGELADO,10-CEFALOPODO,20-CEFALOPODOS OTROS,"Pulpo limpio PESCANOVA, bolsa 800 g",PESCANOVA,13682141,BOLSA,"0,8",800,1,KG,,,,"16,89",,"21,11",,,"0,03",,"16,05","20,06",5%," 'distance': 2,6414265632629395",211245,'PESCANOVA Pulpo 4 patas cocido fao 34 800 gr congelado',PESCANOVA,,BOLSA/BOLSON,"0,80",KG,800,1,800,,,,"27,23","26,96",,"34,04","33,70",,1%,,"-13,64","-12,58",-60%,-68%,-61%,-62%,-62%
